id,texto,perfil,criado_em
1355372773229678593,RT @ChaosInBrazil: @DINAHMRIB1 @ivanaastrosol @SaudadesFilha @SandraMachado00 @Candy1Hardy @MoroPR2022 @ingrid_maria57 @_Bel28 @LuciaCa8683…,chucky_n0rris,2021-01-30 04:30:25
1355372618367557633,RT @jdoriajr: Governo de SP inicia a vacinação dos idosos com mais de 85 anos. No site https://t.co/Ouup4KL29w é possível fazer o pré-cadas…,rosangela_bolze,2021-01-30 04:29:48
1355371336093335556,"RT @dogarrett: RESULTADOS DA JOHNSON &amp; JOHNSON/JANSEN
Eficácia de 72% nos EUA e 57% na África do Sul. Isso confirma o escape ao imunizante…",Vilma98662022,2021-01-30 04:24:42
1355371334021349377,"RT @randolfeap: VENCEMOS! A vida NÃO PODE ESPERAR! Graças à nossa pressão, consolidada inclusive através de nossa ação no STF, o Governo ir…",Roger_Oliveira7,2021-01-30 04:24:42
1355370737767505925,Esses axés estão me dando uma saudade danada do carnaval e me lembrando que este ano não teremos carnaval! Te odeio covid! #BBB21 #VacinaParaTodos #VacinaJa,Re_vasconcelos,2021-01-30 04:22:20
1355370431906279427,"RT @jdoriajr: A partir do dia 8 de fevereiro, vamos dar início à imunização dos idosos com mais de 85 anos no Estado de São Paulo. Serão va…",gaby_lisboa,2021-01-30 04:21:07
1355369941864767489,RT @ChaosInBrazil: @DINAHMRIB1 @ivanaastrosol @SaudadesFilha @SandraMachado00 @Candy1Hardy @MoroPR2022 @ingrid_maria57 @_Bel28 @LuciaCa8683…,igmcgoldrick,2021-01-30 04:19:10
1355369052672323589,"RT @leandraleal: Apesar dos ataques, apesar das informações falsas, A CIÊNCIA VENCEU!!! 

TEMOS VACINA EFICAZ E SEGURA! 💉 
#VacinaJa #Vacin…",BettyFaria,2021-01-30 04:15:38
1355365957359833089,"RT @randolfeap: Já estamos em contato com os executivos da Johnson&amp;Johnson no Brasil, e vamos atrás da aquisição dessa vacina para o povo b…",rafael_nadai,2021-01-30 04:03:20
1355365647677599744,RT @ChaosInBrazil: @DINAHMRIB1 @ivanaastrosol @SaudadesFilha @SandraMachado00 @Candy1Hardy @MoroPR2022 @ingrid_maria57 @_Bel28 @LuciaCa8683…,RejaneMachado12,2021-01-30 04:02:06
1355362956716998657,#ForaBolsonaro #AcordaBrasil #Brasil #VacinaJa #VacinaParaTodos #COVID19 #Brasil https://t.co/AC4moZ57Nu,VANSANTANELLI,2021-01-30 03:51:24
1355361468263366658,@Estadao Solução simples pra esse impasse: #VacinaParaTodos #VacinaJá,vacina_urgente,2021-01-30 03:45:30
1355356870584758273,"@flaviocostaf @sorocaba 
Amor,
manda o cancelamento a merda
Vc já tá  milionário com a turma do GADO, que, aliás é tão medíocre e podre quanto o seu pres.  @jairbolsonaro e seus ""brothers"" do sertanejo
Quanto a sua música, a Covid nos presenteou com 0% dos bizarros VILLA MIX

#saude
#VacinaJa",MMfcker,2021-01-30 03:27:13
1355356782101716992,"RT @TwinPicles: O portal @Metropoles se superou, até conseguiu implantar um braço entrando na barriga de um deputado, que sentiu o soco. 😂😂…",FelipeO21787876,2021-01-30 03:26:52
1355356322838044674,"RT @dogarrett: RESULTADOS DA JOHNSON &amp; JOHNSON/JANSEN
Eficácia de 72% nos EUA e 57% na África do Sul. Isso confirma o escape ao imunizante…",saramartinsb_,2021-01-30 03:25:03
1355355362753466371,"RT @dogarrett: RESULTADOS DA JOHNSON &amp; JOHNSON/JANSEN
Eficácia de 72% nos EUA e 57% na África do Sul. Isso confirma o escape ao imunizante…",edugnunes,2021-01-30 03:21:14
1355354952084959232,"RT @Olavooliveiraof: #LiraNão 
#VacinaJa
#BolsonarosCorruptos  
#ImpeachmentDeBoisonaro https://t.co/U1PcveLTjT",TwinPicles,2021-01-30 03:19:36
1355354942085746690,"@CNNBrasil Bem, ou é essa vacina ou nada! Eu prefiro acreditar na ciência! Idosos não são seres de outro planeta! Assim que tiver disponível, vou sim vacinar meus pais! Já chega de tanto movimento antivacina! Ou vacina, ou morre! #VacinaJá #EuconfionoButantan",vacina_urgente,2021-01-30 03:19:34
1355353843945635840,"Gente essa campanha do covid no RJ que vai vacinar por idade???????? 1 idade por dia... quando vai terminar pelo amor? Todo o brasil vacinado e no Rj ainda na idade 50...

#COVID19 #VacinaJa #rj",eurosearaujo,2021-01-30 03:15:12
1355353694024445955,"RT @jdoriajr: A partir do dia 8 de fevereiro, vamos dar início à imunização dos idosos com mais de 85 anos no Estado de São Paulo. Serão va…",Lilian_RGi,2021-01-30 03:14:36
1355353226774786051,@randolfeap #VacinaJá #VacinaSim,vacina_urgente,2021-01-30 03:12:45
1355353226737049601,"RT @randolfeap: VENCEMOS! A vida NÃO PODE ESPERAR! Graças à nossa pressão, consolidada inclusive através de nossa ação no STF, o Governo ir…",MaikeMC2001,2021-01-30 03:12:45
1355353160123092995,RT @danielamercury: A luta é por Vacina já! Temos que exigir que o governo compre as vacinas e cumpra com rapidez o plano completo de vacin…,M_Martim,2021-01-30 03:12:29
1355352784124608515,"RT @jdoriajr: A partir do dia 8 de fevereiro, vamos dar início à imunização dos idosos com mais de 85 anos no Estado de São Paulo. Serão va…",2109TaniaS,2021-01-30 03:10:59
1355352387645566978,RT @jdoriajr: Governo de SP inicia a vacinação dos idosos com mais de 85 anos. No site https://t.co/Ouup4KL29w é possível fazer o pré-cadas…,2109TaniaS,2021-01-30 03:09:25
1355351802154274817,"RT @Nivea__mc: Eu e meu parceiro relaxando, depois de tomar a vacina...

#VacinaJá 
#VacinaParaTodos 
#vacinaBrasil https://t.co/qas72FmDT1",almalah1411,2021-01-30 03:07:05
1355351285390839808,"“A ciência serve para nos dar uma ideia de quão extensa é a nossa ignorância”. 
(Félicité R. de Lamennais)

#VacinaJa  
#impeachmentJa https://t.co/itU2BCLyj8",TwinPicles,2021-01-30 03:05:02
1355349454203854851,Quando a @NiteroiPref vai divulgar o calendário de vacinação dos idosos? No município do Rio esse calendário já está definido e em Niterói nada ainda. #VacinaJa,1001roteirinhos,2021-01-30 02:57:45
1355348394408030210,#gado cadê a Dancinha  pra tomar #VacinaJa @Jairbolsonaro têm razão é  só uma gripinha https://t.co/iosJtXLMpW,OPandamaria5,2021-01-30 02:53:33
1355347710757498885,"RT @srlm: EUA: DADOS levam a PREVER FREQUÊNCIA de clientes nas LOJAS de 40 a 55% abaixo da norma no curto prazo OU PIOR, se casos de #COVID…",easbarbosa,2021-01-30 02:50:50
